Model no.	Breast cancer type	Disease area	Disease features	Category	Type	Cells	Source	Cell culture type	Cell culture dimensions	3D type	Ex vivo	Applications	Biological endpoints	Throughput	Potential	Relevance	DOI or link	First author name	Year
809	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells/Stem-cell like	MCF10A, MDA-MB-231, HCC38, T47D, ZR751	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	TAZ, CD44, CD24, cytotoxicity	Low	Yes	Supportive	10.18632/oncotarget.2570	Frangou, Costa	2014
810	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells/Stem-cell like	MCF7	Culture	2D	n/a	n/a	Drug develop./testing	RNA profile, C44, CD24, cytotoxicity	Low	Yes	Direct	10.3892/ol.2017.7029	Erol, Ayse	2017
811	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7, MDA-MB-231, fibroblasts	Co-culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	COX-2, IDO, EP4/STAT3 signaling pathway, E-Cadherin, AhR and Skp2, correlation	Low	Yes	Supportive	10.1186/s13058-014-0410-1	Chen, Jing-Yi	2014
812	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells	Immortalised cells	MDA‐MB231, MCF‐7, MCF10, MSCs	Co-culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	proliferation, cytokine profile, migration, bFGF, PI3K, AKT, 	Low	Yes	Supportive	10.1002/stem.2384	Dhawan, Abhishek	2016
813	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells	Immortalised cells/Stem-cell like	SUM159PT, BT549, MDA-MB-231, Hs578T	Culture	2D/3D	Spheroids	n/a	Drug develop./testing	SLUG, ZEB1, SNAIL and VIMENTIN, LRP6, β-catenin and cyclin D1, CD44, CD24, Wnt/β-catenin, EMT	Low	Yes	Direct	10.1007/s00394-018-1864-1	Cruz-Lozano, Marina	2018
814	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-231, MCF7, MCF10A	Culture	2.5D	n/a	n/a	Disease mechanism (exp./theor.)	MicroRNA-3646, proliferation, migration, invasion, RhoA	Low	Yes	Supportive	http://www.ijcep.com/files/ijcep0042085.pdf	Lei, Pei	2017
815	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7	Culture	3D	Scaffolds	n/a	Model/method develop.(exp.)	morphology, MFGE8, MUC1, GATA-3, KRT5, KRT8, CDH1, VIM, GM130, SNAI1, WISP2, MFGE8, AREG, lumen formation, apoptosis, autophagy	Low	Yes	Direct	10.1371/journal.pone.0135426	Vantangoli, Marguerite M.	2015
816	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells	Immortalised cells	MCF10, MDA-MB-231	MPS	3D	Scaffolds	n/a	Model/method develop.(exp.)	E-Cadherin, lumen formation, invasion	Low	Yes	Direct	10.1039/c7lc00191f	Fan, Qihui	2017
817	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells/Ex vivo	Immortalised cells	MCF7 bCSCs, T47D, BC	Culture	3D	Spheroids	Biopsies	Disease mechanism (exp./theor.); Drug develop./testing	cytotoxicity, E-cadherin, Cyclin-D1, c-Myc, Slug and Snail, CD44, CD24, OCT4, NANOG, Sox-2, ABCG-2, MRP-1ALDH1, FAK, migration, EMT	Low	Yes	Supportive	10.1186/scrt506	Mukherjee, Shravanti	2014
818	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7, T47D, MDA-MB-231	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	RNA profile, Hipoxia, PKH26, anoikis	High	Yes	Direct	10.1016/j.stemcr.2015.12.006	Akrap, Nina	2016
819	BC	BC	Cancer Initiation and Development	In vitro	Cells/Ex vivo	Immortalised cells	MCF10A.NeuT, MCF10A / BC	Culture	3D	Spheroids	Organ slice	Disease mechanism (exp./theor.)	ErbB2, viability, apical-basal polarity, DLG1, ezrin–radixin–moesin, EMT	Low	Yes	Direct	10.1080/15384101.2018.1511510	Li, Song	2018
820	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells	Immortalised cells	MCF10	Culture	2.5D/3D	Spheroids	n/a	Disease mechanism (exp./theor.)	morphology, viability, invasion, migration, PI3K, RAC1	Low	Yes	Direct	10.1007/s12195-016-0468-1	Stowers, Ryan S.	2017
826	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	hTERT-HME1, HME, MCF10A, MCF7, DCIS.com, Hs578T	Culture	2D	n/a	n/a	Drug develop./testing	VDR, CYP24A1, gene expression	Low	Yes	Supportive	10.1016/j.jsbmb.2014.09.014	Beaudin, Sarah G.	2015
827	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7R	Culture	2D	n/a	n/a	Drug develop./testing	apoptosis, caspase activities, DNA fragmentation, intracellular reactive oxygen species, human topoisomerase I, invasion, cytotoxicity	Low	Yes	Direct	10.1016/j.jinorgbio.2015.06.009	Tan, Yee Seng	2015
828	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7, MDA-MB-231	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	miR-3646, proliferation, migration, invasion, cell-cycle, CDK1/CDC2, cyclin B1, p21Waf1/Cip1, p27 Kip1, p53	Medium	Yes	Supportive	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859896/	Tao, S	2016
829	BC	BC	Metastasis	In vitro	Cells	Immortalised cells/Stem-cell like	MCF10A-Tr, MCF10-A	Culture	2.5D/3D	Spheroids	n/a	Disease mechanism (exp./theor.)	SURVIVIN, WNT/β-CATENIN pathway, quiescience exit, EMT	Low	Yes	Direct	10.1007/s10585-016-9809-7	Siddharth, Sumit	2016
830	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells/Stem-cell like	MCF7	Culture	3D	Spheroids	n/a	Drug develop./testing	Glucosamine, ALDH, STAT3, CD44, CD24, IL-6, 	Low	Yes	Direct	10.3892/ol.2018.9222	Hosea, Rendy	2018
831	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	T47D, MCF7, ERBB2, BT474, MDA-MB-231	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	genome-wide RNA profile	Low	Yes	Direct	https://europepmc.org/article/med/26537079	Murat Dogan, S	2015
833	BC	BC	Cancer Initiation and Development	In vitro	Ex vivo	n/a	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp./theor.)	CD44, CD24, correlation, telomerase activity, proliferation, invasion, EMT	Low	Yes	Direct	10.4137/CPath.Ss19615	Jaafar Makki	2014
834	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MDA-MB-468, HCC1806, MCF7	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	mir-142-3p, Bod1, KLF4,  Oct4 in sorted CD44, CD24, β-catenin, WNT, colony formation assay	High	Yes	Direct	10.1177/1010428318791887	Troschel, Fabian M	2018
835	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB157 , MDA-MB-468, MCF10	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	ALDH1, GLO, viability	Medium	Yes	Direct	10.18632/oncotarget.26369	Shoma Tamori	2018
838	BC	BC	Cancer Initiation and Development; Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells/Stem-cell like	MCF7	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	morphology, CD44, CD24, ALDH, proliferation, migration,  invasion, miR profile, cytotoxicity	Medium	Yes	Direct	10.7150/ijbs.12777	Boo, Lily	2016
841	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells/Stem-cell like	MDA‑MB‑231, SK-BR-3	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	Rab27A, cytotoxicity, CD44, CD24	Low	Yes	Direct	10.3892/ol.2017.6542	Feng, Feixue	2017
842	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells/Stem-cell like	MCF7, MDA-MB-468	Culture	2.5D/3D	Spheroids	n/a	Drug develop./testing	Oct4, Sox2, Nanog, CD44, cytotoxicity, EMT	Medium	Yes	Direct	10.1080/15384101.2016.1241929	Zhang, Le	2017
843	BC	BC	Cancer Initiation and Development	In vitro	Ex vivo	n/a	BC	n/a	n/a	n/a	Biopsies Organ slice	Disease mechanism (exp./theor.)	CD44, ALDH, Ki67	Low	Yes	Direct	10.21873/anticanres.11013	Paula, Arnaud Da Cruz	2016
844	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells/Stem-cell like	MCF7	Culture	3D	Spheroids	n/a	Model/method develop.(exp.)	HPI/AMF, CD44, ALDH1A3, Oct 3/4, proliferation, migration, invasion, CD44, ALDH1A, p38 MAPK, Oct3/4, wnt/β-catenin, SNAIL, MMP-1, vimentin, EMT	Low	Yes	Direct	10.1016/j.bbamcr.2017.06.015	Gallardo-Perez, Juan Carlos	2017
845	BC	BC	Cancer Initiation and Development; Immunology	In vitro	Cells	Immortalised cells	MDA-MB-231	Co-culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	RNA profile, angiogenesis, IP10, CCL22, PDL1, PDL2, VCAM-1, CD206	Low	Yes	Supportive	10.1371/journal.pntd.0006404	Narasimhan, Prakash Babu	2018
846	IBC	IBC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	SUM149, SUM190, MDA-IBC3 (generated de novo), PCMB	Co-culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	IL-4, IL-13, STAT6, cytotoxicity	Low	Yes	Direct	10.1016/j.ijrobp.2017.11.043	Rahal, Omar M.	2018
847	BC	BC	Cancer Initiation and Development; Angiogenesis	In vitro	Cells	Immortalised cells	SUM149, MDA-MB-231	Culture	2D/3D	Spheroids	n/a	Disease mechanism (exp./theor.)	TAFI, endothelial cell proliferation, cell invasion, cell migration, tube formation, collagen degradation	Medium	Yes	Direct	10.1007/s10585-017-9837-y	Bazzi, Zainab A.	2017
848	BC	BC	Metastasis	In vitro	Cells	Immortalised cells	MDA-MB-231	Culture	2D	n/a	n/a	Model/method develop.(exp.)	proportion of tumor cells entering dormancy	Low	Yes	Direct	10.1039/c6lc01171c	Clark, A. M.	2017
849	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells	Immortalised cells	HMT-3522, S1, T4-2, MCF10A	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	ROS, monocyte infiltration, morphology, RAC1, NF-κB activity, 	Low	Yes	Direct	10.1242/jcs.186031	Li, Linzhang	2017
851	BC	BC	Microenvironment-Tumor Interactions	In vitro	Ex vivo	n/a	BC	n/a	n/a	n/a	Organ slice	Disease mechanism (exp./theor.)	Beclin-1, invasion, correlation, IL-1, DD2R, IL-10RB, genome-wide profile 	Low	Yes	Direct	10.1371/journal.pone.0125762	Morikawa, Akemi	2015
852	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells/Ex vivo	Immortalised cells	MDA-MB-231, human macrophages	Co-culture	2D	n/a	Biopsies	Disease mechanism (exp./theor.)	lactic acid, CCL5 in human macrophages, Notch signaling, TGF-β signaling, aerobic glicolysis, AMPK signaling, EMT	Low	Yes	Direct	10.18632/oncotarget.22786	Lin, Sensen	2017
853	BC	BC	Cancer Initiation and Development; Angiogenesis	In vitro	Cells	Immortalised cells	MCF7, MDA-MB-231, T47-D	Culture	2.5D	n/a	n/a	Disease mechanism (exp./theor.)	ADAM12, VEGF, MMP-9, EGFR, STAT3, Akt, tube formation	Medium	Yes	Direct	10.1158/1541-7786.MCR-17-0188	Roy, Roopali	2017
854	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	T47D, MCF7	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	prolactin, ERK1/2 and FAK, STAT5	Low	Yes	Direct	10.18632/oncotarget.10137	Barcus, Craig E.	2016
855	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MDA-MB-231-TXSA	Culture	2.5D/3D	Spheroids	n/a	Disease mechanism (exp./theor.)	cytotoxicity	Medium	Yes	Direct	10.1021/acs.biomac.6b00786	Kumeria, Tushar	2016
856	BC	BC	Cancer Initiation and Development	In vitro	Ex vivo	n/a	BC	n/a	n/a	n/a	Biopsies	Disease mechanism (exp./theor.)	TWIST, iNOS	Low	Yes	Direct	10.1007/s11010-015-2606-9	Ranganathan, Santhalakshmi	2016
857	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF‐7, SKBR‐3, MDA‐MB‐468, MDA‐MB‐231, Hs578T, T47D	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	COX‐2, EP4, PI3K, AKT, NOTCH, WNT, correlation, viability, EMT	Low	Yes	Supportive	10.1002/stem.2426	Majumder, Mousumi	2016
858	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells/Stem-cell like	SK-BR-3, T47-D, ZR-75-1, ZR-75-30, BT20, BT549, MDA-MB-231, MDA-MB-453, MDA-MB-468, HCC1143 , HS-578T	Culture	3D	Spheroids	n/a	Drug develop./testing	mTOR, MnSOD and Akt, cytotoxicity	Low	Yes	Direct	10.3892/ijmm.2015.2441	Lai, Yuanhui	2016
859	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells/Stem-cell like	MCF7	Culture	3D	Spheroids	n/a	Drug develop./testing	cell proliferation ,CD44, CD24, RNA profile, BRCA1, BRCA2, p15, p16, p53,  PTEN, cytotoxicity	High	Yes	Direct	10.2147/OTT.S96291	Nhan Lu-Chinh Phan	2016
860	BC	BC	Cancer Initiation and Development; Angiogenesis	In vitro	Cells	Immortalised cells	MDA-MB-231, MDA-MB-468, MDA-MB-361, MDA-MB-436, BT474, T47D, MCF7	Culture	2.5D/3D	Spheroids	n/a	Disease mechanism (exp./theor.)	WSB-1, MMP proteins, VEGF, angiogenic potential	Medium	Yes	Direct	10.1038/s41416-018-0056-3	Poujade, Flore-Anne	2018
863	BC	BC	Cancer Initiation and Development	In vitro	Cells/Cell free	Immortalised cells	MCF7, MDA-MB-231, BC	Culture	3D	Spheroids	Biopsies	Disease mechanism (exp./theor.)	six2, RNA profile, CYP4Z1, CYP4Z2P, PI3K/Akt and ERK1/2 pathways, ceRNET_CC	Low	Yes	Supportive	10.1186/s13045-019-0697-6	Zheng, Lufeng	2019
864	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells/Stem-cell like	MCF7 , MDA-MB-231	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	miR-140-5p, proliferation, WNT1, viability, proliferation	Low	Yes	Supportive	10.1038/s41417-018-0035-0	Wu, Dawei	2018
865	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA‐MB‐231, T‐47D,	Culture	2.5D/3D	Spheroids	n/a	Disease mechanism (exp./theor.)	β1 integrin, fascin, cell adhesion, colony formation, RNA profile,	Medium	Yes	Direct	10.1002/ijc.32183	Barnawi, Rayanah	2019
866	BC	BC	Pharmacological/Physical Treatment	In vitro/In silico	Cells/Algorithms	Immortalised cells	T47D	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity, cell proliferation	Low	Yes	Direct	10.1016/j.tiv.2017.08.017	Schlotz, Nina	2017
867	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	JIMT-1, HCC1937	Culture	3D	Spheroids	n/a	Drug develop./testing	cytotoxicity	Low	Yes	Direct	10.1021/cb5002153	Huang, Xiaoli	2014
868	BC	BC	Cancer Initiation and Development	In vitro	Cells	Primary cell culture	BC	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	ER, PR, HER2, allele frequences, CD44, CD24, ALDH, DNA profile	High	Yes	Direct	10.1186/bcr3687	Klevebring, Daniel	2014
869	BC	BC	Metastasis	In vitro	Cells	Immortalised cells/Primary cell culture/Stem cells	MDA-MB-231	Culture	2.5D/3D	Spheroids	n/a	Disease mechanism (exp./theor.)	TAZ, cell proliferation, morphology, migration, invasion	Low	Yes	Direct	10.1038/onc.2014.5	Bartucci, M.	2015
870	BC	BC	Cancer stem cells	In vitro	Cells	Immortalised cells/Stem-cell like	MDA‐MB‐231, T‐47D	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	PD-L1, NANOG, OCT4, PI3K/AKT pathway	High	Yes	Supportive	10.1002/stem.2473	Barnawi, Rayanah	2016
871	BC	BC	Cancer stem cells	In vitro	Cells	Immortalised cells/Stem-cell like	MDA‐MB‐231, T‐47D	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	PD-L1, OCT4, NANOG, AKT, RNA profile, protein profile, EMT	Low	Yes	Supportive	10.1002/ijc.30834	Almozyan, Sheema	2017
872	BC	BC	Microenvironment-Tumor Interactions; Angiogenesis	In vitro	Cells	Immortalised cells	SKBR3, MDA-MB-468, HL60,U937	Co-culture	2.5D	n/a	n/a	Disease mechanism (exp./theor.)	ID4, macrophage migration, tube formation, correlation, miR-10, granulin (GRN)	Low	Yes	Direct	10.1186/s13058-018-0990-2	Donzelli, Sara	2018
873	BC	BC	Metastasis	In vitro	Cells	Immortalised cells	MDA-MB-231, HTB-126, SUM149, MCF10A, MCF10CA1a	Culture	2D/3D	Spheroids	n/a	Disease mechanism (exp./theor.); Drug develop./testing	CPB2 (TAFI) and THBD, cell invasion, migration, collagen proteolysis	Low	Yes	Direct	10.1186/s12885-016-2359-1	Bazzi, Zainab A.	2016
874	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MDA-MB-231, MCF7, SUM159	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity, NOTCH2	Low	Yes	Direct	10.1007/s10549-014-3059-7	Sehrawat, Anuradha	2014
875	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity	Low	Yes	Direct	10.1016/j.bmcl.2016.03.071	Buduma, Komuraiah	2016
876	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity	Low	Yes	Supportive	10.3390/molecules21060762	Eldehna, Wagdy M.	2016
877	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MDA-453	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity	Low	Yes	Supportive	10.2174/1871520616666161207155634	Zmejkovski, Bojana B.	2017
878	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MDA-MB-231	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity	Low	Yes	Direct	10.1002/asia.201700049	Parveen, Rumana	2017
880	BC	BC	Anti-cancer drug delivery system	In vitro	Cells	Immortalised cells	MCF‐7	Culture	2.5D	n/a	n/a	Model/method develop.(exp.)	cytotoxicity	Low	Yes	Direct	10.1002/mame.201700243	Noteborn, Willem E. M.	2017
881	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF‐7	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity	Low	Yes	Supportive	10.1016/j.ejmech.2014.12.010	Eldehna, Wagdy M.	2015
882	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	SUM149, MDA-MB-231Br, MDA-MB-468, MDA-MB-436	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity	Low	Yes	Supportive	10.1093/neuonc/nox052	Van Swearingen, Amanda E. D.	2017
885	BC	BC	Metastasis	In vitro/In silico	Cell free/Computational	n/a	BC	n/a	n/a	n/a	Biopsies	Disease mechanism (exp./theor.)	DNA profile	Low	Yes	Supportive	10.1126/science.aat7171	Reiter, Johannes G.	2018
886	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	BT549, HCC1395, Hs578T, MDAKB2	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.); Drug develop./testing	FRK, Friend of GATA 1	Low	Yes	Supportive	10.18632/oncotarget.14546	Bagu, Edward T.	2017
888	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7, MDA-MB-231	Culture	2.5D	n/a	n/a	Drug develop./testing	Apoptosis, PI3K/Akt/mTOR Signaling Pathway,PDK, D1, Bcl-2, survivin, VEGF, procaspase-3, PARP, cytotoxicity, CXCL12 AKT2	Low	Yes	Direct	10.1371/journal.pone.0153155	Mohan, Chakrabhavi Dhananjaya	2016
889	BC	BC	Tumor Detection and Classification; Patient Stratification	In silico	Algorithms	n/a	n/a	n/a	n/a	n/a	n/a	Disease mechanism (exp./theor.)	glutamate carboxypeptidase II, correlation	Low	Yes	Direct	10.1016/j.cancergen.2015.09.001	Naushad, Shaik Mohammad	2015
891	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7, HS578T, MCF10A	Culture	2D	n/a	n/a	Model/method develop.(theor.)	RNA profile	Low	Yes	Direct	10.1186/s12859-017-1925-0	Castillo, Daniel	2017
892	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity	Low	Yes	Supportive	10.1016/j.saa.2014.09.053	Tabrizi, Leila	2015
895	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	SK-BR-3, MCF7, MDA-MB-453, T47D, HCC1954,SUM149	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	mir-100, Cyclin B, CDK, apoptosis, p27, BAX, BCL-2, MTMR3, cell proliferation	Medium	Yes	Supportive	10.1038/srep11650	Gong, Yi	2015
896	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	BT20	Culture	2D	n/a	n/a	Drug develop./testing	Topoisomerase I activity, cytotoxicity	Low	Yes	Direct	10.1016/j.ejmech.2016.03.031	Alonso, Concepcion	2016
897	BC	BC	Anti-cancer drug delivery system	In vitro	Cells	Immortalised cells	MCF7	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity, drug uptake	Medium	Yes	Direct	10.1177/0885328218783969	Su, Hongying	2018
899	BC	BC	Tumor Detection and Classification	In silico	Computational	n/a	n/a	n/a	n/a	n/a	n/a	Model/method develop.(theor.)	Rayleigh to Compton scattering ratio (R/C) 	Low	Yes	Direct	10.1016/j.radphyschem.2012.12.048	Antoniassi, M.	2014
900	BC	BC	Tumor Detection and Classification	In silico	Computational	n/a	n/a	n/a	n/a	n/a	n/a	Model/method develop.(theor.)	Rayleigh to Compton scattering ratio (R/C) 	Low	Yes	Direct	10.1016/j.radphyschem.2018.06.011	Antoniassi, M.	2019
902	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7, T47D	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	PARP1-NuA4, DNA damage	Low	Yes	Direct	10.1016/j.celrep.2014.08.009	Krukenberg, Kristin A.	2014
903	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MDA-MB-231	Culture	2.5D	n/a	n/a	Drug develop./testing; Model/method develop. (exp.)	cytotoxicity, migration	Low	Yes	Direct	10.1098/rsif.2014.0638	Sun, Wei	2014
904	BC	BC	Immunosensor	In vitro	Cell free	n/a	SK-BR-3, MCF7, MDA-MB-436	n/a	n/a	n/a	n/a	Model/method develop.(exp.)	ErbB2	Low	Yes	Direct	10.1016/j.aca.2015.12.020	Eletxigerra, Unai	2016
905	BC	BC	Tumor Detection and Classification	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	n/a	Model/method develop.(exp.)	nomogram, correlation	Low	Yes	Direct	http://journal.waocp.org/article_28775_11db3a3f5add2b90c0e8052e18082a11.pdf	Koca, Bulent	2014
907	BC	BC	Metastasis	In vitro	Cells	Immortalised cells	MDA-MB-231, MCF7	Culture	2.5D	n/a	n/a	Disease mechanism (exp./theor.)	C11, FGFR1, migration, invasion, angiogenesis, FGFR1, MMP2, MMP9	Low	Yes	Supportive	10.1038/s41401-018-0191-7	Boo, Lily	2018
908	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-231	Culture	2.5D	n/a	n/a	Model/method develop.(exp.)	cell adhesion, protein synthesis, VEGF, MMP2, MMP9, secreted FN	Low	Yes	Direct	10.3233/CH-168040	Feng, Feixue	2016
909	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity	Low	Yes	Direct	10.4103/pm.pm_136_17	Zhang, Le	2017
910	BC	BC	Tumor Detection and Classification	In silico	Algorithms	n/a	n/a	n/a	n/a	n/a	n/a	Model/method develop.(theor.)	grayscale morphologic features, Doppler features	Low	Yes	Direct	10.1109/ULTSYM.2018.8579953	Paula, Arnaud Da Cruz	2018
