Model no.	Disease Area	Disease Feature	Category	Type	Application	Biological Endpoints	Throughput	Potential	Notes	Reference	DOI	Authors	Year	Citation Index (Scopus)	Citation Index  (WOS)
259	COPD	Oxidative stress	2D or 3D co-culture	Induced pluripotent stem cell-derived mesenchymal stem cells (iPSC-MSCs) 	Model validation	Mitochondrial membrane potential (δΨm)	Medium / Low (Lab scale)	Disease Progression		Mesenchymal stem cells alleviate oxidative stress-induced mitochondrial dysfunction in the airways	https://doi.org/10.1016/j.jaci.2017.08.017	Li, X.; Michaeloudes, C.; Zhang, Y.; Wiegman, C.H.; Adcock, I.M.; Lian, Q.; Mak, J.C.W.; Bhavsar, P.K.; Chung, K.F.	2017	13	12
259	COPD	Oxidative stress	2D or 3D co-culture	Primary human ASMCs	Model validation	Apoptosis	Medium / Low (Lab scale)	Disease Progression		Mesenchymal stem cells alleviate oxidative stress-induced mitochondrial dysfunction in the airways	https://doi.org/10.1016/j.jaci.2017.08.017	Li, X.; Michaeloudes, C.; Zhang, Y.; Wiegman, C.H.; Adcock, I.M.; Lian, Q.; Mak, J.C.W.; Bhavsar, P.K.; Chung, K.F.	2017	13	12
259	COPD	Oxidative stress	2D or 3D co-culture	Primary human ASMCs	Model validation	Reactive Oxygen Species (ROS)	Medium / Low (Lab scale)	Disease Progression		Mesenchymal stem cells alleviate oxidative stress-induced mitochondrial dysfunction in the airways	https://doi.org/10.1016/j.jaci.2017.08.017	Li, X.; Michaeloudes, C.; Zhang, Y.; Wiegman, C.H.; Adcock, I.M.; Lian, Q.; Mak, J.C.W.; Bhavsar, P.K.; Chung, K.F.	2017	13	12
259	COPD	Oxidative stress	2D or 3D co-culture	Primary human ASMCs	Model validation	Mitochondrial membrane potential (δΨm)	Medium / Low (Lab scale)	Disease Progression		Mesenchymal stem cells alleviate oxidative stress-induced mitochondrial dysfunction in the airways	https://doi.org/10.1016/j.jaci.2017.08.017	Li, X.; Michaeloudes, C.; Zhang, Y.; Wiegman, C.H.; Adcock, I.M.; Lian, Q.; Mak, J.C.W.; Bhavsar, P.K.; Chung, K.F.	2017	13	12
260	Respiratory Disease - General	Primary ciliary dyskinesia (PCD) 	Spheroid	Nasal ciliary cell sheets (human -derived)	Model development - experim	Cillia beating Frequency	Medium / Low (Lab scale)	High Potential to become a disease model		Patient-specific three-dimensional explant spheroids derived from human nasal airway epithelium: a simple methodological approach for ex vivo studies of primary ciliary dyskinesia.	https://doi.org/10.1186/s13630-017-0049-5	Marthin, June Kehlet; Stevens, Elizabeth Munkebjerg; Larsen, Lars Allan; Christensen, Soren Tvorup; Nielsen, Kim Gjerum	2017	3	-
261	Respiratory Disease - General	Exploratory/ no specific feature	Organoid model 	Induced pluripotent stem cell-derived mesenchymal stem cells (iPSC-MSCs) 	Model development - experim	Wnt signaling pathway	Medium / Low (Lab scale)	High Potential to become a disease model		Efficient Derivation of Functional Human Airway Epithelium from Pluripotent Stem Cells via Temporal Regulation of Wnt Signaling.	https://doi.org/10.1016/j.stem.2017.03.001	McCauley, Katherine B; Hawkins, Finn; Serra, Maria; Thomas, Dylan C; Jacob, Anjali; Kotton, Darrell N	2017	53	51
262	Cystic Fibrosis	Protein expression	2D or 3D Culture	Primary human NHBE cells	Model development - experim	Protein Expression	Medium / Low (Lab scale)	High Potential to become a disease model		BMI-1 extends proliferative potential of human bronchial epithelial cells while retaining their mucociliary differentiation capacity.	https://doi.org/10.1152/ajplung.00471.2016	Munye, Mustafa M; Shoemark, Amelia; Hirst, Robert A; Delhove, Juliette M; Sharp, Tyson V; McKay, Tristan R; O'Callaghan, Christopher; Baines, Deborah L; Howe, Steven J; Hart, Stephen L	2017	9	9
262	Cystic Fibrosis	Protein expression	2D or 3D Culture	HEK293T cells	Model development - experim	Protein Expression	Medium / Low (Lab scale)	High Potential to become a disease model		BMI-1 extends proliferative potential of human bronchial epithelial cells while retaining their mucociliary differentiation capacity.	https://doi.org/10.1152/ajplung.00471.2016	Munye, Mustafa M; Shoemark, Amelia; Hirst, Robert A; Delhove, Juliette M; Sharp, Tyson V; McKay, Tristan R; O'Callaghan, Christopher; Baines, Deborah L; Howe, Steven J; Hart, Stephen L	2017	9	9
262	Cystic Fibrosis	Primary ciliary dyskinesia (PCD) 	2D or 3D Culture	Primary human NHBE cells	Model development - experim	Cillia beating Frequency	Medium / Low (Lab scale)	High Potential to become a disease model		BMI-1 extends proliferative potential of human bronchial epithelial cells while retaining their mucociliary differentiation capacity.	https://doi.org/10.1152/ajplung.00471.2016	Munye, Mustafa M; Shoemark, Amelia; Hirst, Robert A; Delhove, Juliette M; Sharp, Tyson V; McKay, Tristan R; O'Callaghan, Christopher; Baines, Deborah L; Howe, Steven J; Hart, Stephen L	2017	9	9
262	Respiratory Disease - General	Protein expression	2D or 3D Culture	Cystic Fibrosis human bronchial epithelial (CFBE) cells	Model development - experim	Protein Expression	Medium / Low (Lab scale)	Pathogenesis		BMI-1 extends proliferative potential of human bronchial epithelial cells while retaining their mucociliary differentiation capacity.	https://doi.org/10.1152/ajplung.00471.2016	Munye, Mustafa M; Shoemark, Amelia; Hirst, Robert A; Delhove, Juliette M; Sharp, Tyson V; McKay, Tristan R; O'Callaghan, Christopher; Baines, Deborah L; Howe, Steven J; Hart, Stephen L	2017	9	9
263	Cystic Fibrosis	Primary ciliary dyskinesia (PCD) 	2D or 3D Culture	HEK293T cells	Model development - experim	Cillia beating Frequency	Medium / Low (Lab scale)	High Potential to become a disease model		BMI-1 extends proliferative potential of human bronchial epithelial cells while retaining their mucociliary differentiation capacity.	https://doi.org/10.1152/ajplung.00471.2016	Munye, Mustafa M; Shoemark, Amelia; Hirst, Robert A; Delhove, Juliette M; Sharp, Tyson V; McKay, Tristan R; O'Callaghan, Christopher; Baines, Deborah L; Howe, Steven J; Hart, Stephen L	2017	9	9
263	Cystic Fibrosis	Primary ciliary dyskinesia (PCD) 	2D or 3D Culture	Cystic Fibrosis human bronchial epithelial (CFBE) cells	Model development - experim	Cillia beating Frequency	Medium / Low (Lab scale)	High Potential to become a disease model		BMI-1 extends proliferative potential of human bronchial epithelial cells while retaining their mucociliary differentiation capacity.	https://doi.org/10.1152/ajplung.00471.2016	Munye, Mustafa M; Shoemark, Amelia; Hirst, Robert A; Delhove, Juliette M; Sharp, Tyson V; McKay, Tristan R; O'Callaghan, Christopher; Baines, Deborah L; Howe, Steven J; Hart, Stephen L	2017	9	9
264	Cystic Fibrosis	Barrier Function / Integrity	2D or 3D Culture	Cystic Fibrosis human bronchial epithelial (CFBE) cells	Model development - experim	Trans Epithelial Electrical Resistance (TEER)	Medium / Low (Lab scale)	Drug Development		Modelling the bronchial barrier in pulmonary drug delivery: A human bronchial epithelial cell line supplemented with human tracheal mucus.	https://doi.org/10.1016/j.ejpb.2017.03.020	Murgia, Xabi; Yasar, Hanzey; Carvalho-Wodarz, Cristiane; Loretz, Brigitta; Gordon, Sarah; Schwarzkopf, Konrad; Schaefer, Ulrich; Lehr, Claus-Michael	2017	7	6
265	COPD	Inflammation	Human/patient primary or stem cells 	Human Airway Epithelial Cells (hAEC)	Disease mechanism (exp/theor)	Protein Expression	Medium / Low (Lab scale)	Mechanistic Studies		Susceptibility for cigarette smoke-induced DAMP release and DAMP-induced inflammation in COPD.	https://doi.org/10.1152/ajplung.00135.2016	Pouwels, Simon D; Hesse, Laura; Faiz, Alen; Lubbers, Jaap; Bodha, Priya K; Ten Hacken, Nick H T; van Oosterhout, Antoon J M; Nawijn, Martijn C; Heijink, Irene H	2016	16	19
266	Cystic Fibrosis	Protein expression	2D or 3D Culture	Primary human NHBE cells	Identification of Biomarkers	CTFR Activity	Medium / Low (Lab scale)	High Potential to become a disease model		Correction of CFTR function in nasal epithelial cells from cystic fibrosis patients predicts improvement of respiratory function by CFTR modulators	https://doi.org/10.1038/s41598-017-07504-1	Pranke, Iwona M.; Hatton, Aurelie; Simonin, Juliette; Jais, Jean Philippe; Le Pimpec-Barthes, Francoise; Carsin, Ania; Bonnette, Pierre; Fayon, Michael; Stremler-Le Bel, Nathalie; Grenet, Dominique; Thumerel, Matthieu; Mazenq, Julie; Urbach, Valerie; Mesbahi, Myriam; Girodon-Boulandet, Emanuelle; Hinzpeter, Alexandre; Edelman, Aleksander; Sermet-Gaudelus, Isabelle	2017	19	24
266	Cystic Fibrosis	Protein expression	2D or 3D Culture	human nasal epithelial cells (hNECs)	Identification of Biomarkers	CTFR Activity	Medium / Low (Lab scale)	High Potential to become a disease model		Correction of CFTR function in nasal epithelial cells from cystic fibrosis patients predicts improvement of respiratory function by CFTR modulators	https://doi.org/10.1038/s41598-017-07504-1	Pranke, Iwona M.; Hatton, Aurelie; Simonin, Juliette; Jais, Jean Philippe; Le Pimpec-Barthes, Francoise; Carsin, Ania; Bonnette, Pierre; Fayon, Michael; Stremler-Le Bel, Nathalie; Grenet, Dominique; Thumerel, Matthieu; Mazenq, Julie; Urbach, Valerie; Mesbahi, Myriam; Girodon-Boulandet, Emanuelle; Hinzpeter, Alexandre; Edelman, Aleksander; Sermet-Gaudelus, Isabelle	2017	19	24
267	Respiratory Disease - General	Inflammation	Human/patient ex-vivo tissue or body fluids 	Human parenchymal lung tissue 	Drug development/ testing	Inflammatory Mediators	Medium / Low (Lab scale)	High Potential to become a disease model		Defining the inflammatory signature of human lung explant tissue in the presence and absence of glucocorticoid	https://doi.org/10.12688/f1000research.10961.1	Rimington, T.L.; Hodge, E.; Billington, C.K.; Bhaker, S.; Binaya; Kilty, I.; Jelinsky, S.; Hall, I.P.; Sayers, I.	2017	3	-
268	Cystic Fibrosis	Inflammation	Human/patient primary or stem cells 	Alveolar macrophages	Drug development/ testing	Trans Epithelial Electrical Resistance (TEER)	Medium / Low (Lab scale)	High Potential to become a disease model		Resolvin D1 regulates epithelial ion transport and inflammation in cystic fibrosis airways.	https://doi.org/10.1016/j.jcf.2017.11.017	Ringholz, Fiona C; Higgins, Gerard; Hatton, Aurelie; Sassi, Ali; Moukachar, Ahmad; Fustero-Torre, Coral; Hollenhorst, Monika; Sermet-Gaudelus, Isabelle; Harvey, Brian J; McNally, Paul; Urbach, Valerie	2017	4	4
268	Cystic Fibrosis	Inflammation	Human/patient primary or stem cells 	Alveolar macrophages	Drug development/ testing	Trans Epithelial Electrical Resistance (TEER)	Medium / Low (Lab scale)	High Potential to become a disease model		Resolvin D1 regulates epithelial ion transport and inflammation in cystic fibrosis airways.	https://doi.org/10.1016/j.jcf.2017.11.017	Ringholz, Fiona C; Higgins, Gerard; Hatton, Aurelie; Sassi, Ali; Moukachar, Ahmad; Fustero-Torre, Coral; Hollenhorst, Monika; Sermet-Gaudelus, Isabelle; Harvey, Brian J; McNally, Paul; Urbach, Valerie	2017	4	4
268	Cystic Fibrosis	Tissue/Cell Viability	Human/patient primary or stem cells 	Primary human tracheobronchial epithelial cells 	Drug development/ testing	Phagocytosis	Medium / Low (Lab scale)	High Potential to become a disease model		Resolvin D1 regulates epithelial ion transport and inflammation in cystic fibrosis airways.	https://doi.org/10.1016/j.jcf.2017.11.017	Ringholz, Fiona C; Higgins, Gerard; Hatton, Aurelie; Sassi, Ali; Moukachar, Ahmad; Fustero-Torre, Coral; Hollenhorst, Monika; Sermet-Gaudelus, Isabelle; Harvey, Brian J; McNally, Paul; Urbach, Valerie	2017	4	4
269	COPD	Barrier Function / Integrity	Human/patient primary or stem cells 	Airway epithelial ALI culture	Disease mechanism (exp/theor)	Protein Expression	Medium / Low (Lab scale)	Mechanistic Studies		Zinc deficiency as a codeterminant for airway epithelial barrier dysfunction in an ex vivo model of COPD.	https://doi.org/10.2147/COPD.S149589	Roscioli, Eugene; Jersmann, Hubertus Pa; Lester, Susan; Badiei, Arash; Fon, Andrew; Zalewski, Peter; Hodge, Sandra	2017	1	1
269	COPD	Barrier Function / Integrity	Human/patient primary or stem cells 	Airway epithelial ALI culture	Disease mechanism (exp/theor)	Trans Epithelial Electrical Resistance (TEER)	Medium / Low (Lab scale)	Mechanistic Studies		Zinc deficiency as a codeterminant for airway epithelial barrier dysfunction in an ex vivo model of COPD.	https://doi.org/10.2147/COPD.S149589	Roscioli, Eugene; Jersmann, Hubertus Pa; Lester, Susan; Badiei, Arash; Fon, Andrew; Zalewski, Peter; Hodge, Sandra	2017	1	1
269	COPD	Barrier Function / Integrity	Human/patient primary or stem cells 	Airway epithelial ALI culture	Disease mechanism (exp/theor)	Other	Medium / Low (Lab scale)	Mechanistic Studies		Zinc deficiency as a codeterminant for airway epithelial barrier dysfunction in an ex vivo model of COPD.	https://doi.org/10.2147/COPD.S149589	Roscioli, Eugene; Jersmann, Hubertus Pa; Lester, Susan; Badiei, Arash; Fon, Andrew; Zalewski, Peter; Hodge, Sandra	2017	1	1
270	Pulmonary Fibrosis	Idiopathic Pulmonary Fibrosis (IPF)	Human/patient ex-vivo tissue or body fluids 	Human Pericytes	Mimics lung microenvironment	Other	Medium / Low (Lab scale)	Mechanistic Studies		Human pericytes adopt myofibroblast properties in the microenvironment of the IPF lung	https://doi.org/10.1172/jci.insight.96352	Sava, Parid; Ramanathan, Anand; Dobronyi, Amelia; Peng, Xueyan; Sun, Huanxing; Ledesma-Mendoza, Adrian; Herzog, Erica L.; Gonzalez, Anjelica L.	2017	-	13
271	Cystic Fibrosis	Exploratory/ no specific feature	Human/patient primary or stem cells 	human nasal epithelial cells (hNECs)	Model development - experim	Cytokine Release	Medium / Low (Lab scale)	Mechanistic Studies		Characterization of pediatric cystic fibrosis airway epithelial cell cultures at the air-liquid interface obtained by non-invasive nasal cytology brush sampling	https://doi.org/10.1186/s12931-017-0706-7	Schogler, Aline; Blank, Fabian; Brugger, Melanie; Beyeler, Seraina; Tschanz, Stefan A.; Regamey, Nicolas; Casaulta, Carmen; Geiser, Thomas; Alves, Marco P.	2017	3	4
271	Cystic Fibrosis	Exploratory/ no specific feature	Human/patient primary or stem cells 	human nasal epithelial cells (hNECs)	Model development - experim	Tissue / Cell Viability	Medium / Low (Lab scale)	Mechanistic Studies		Characterization of pediatric cystic fibrosis airway epithelial cell cultures at the air-liquid interface obtained by non-invasive nasal cytology brush sampling	https://doi.org/10.1186/s12931-017-0706-7	Schogler, Aline; Blank, Fabian; Brugger, Melanie; Beyeler, Seraina; Tschanz, Stefan A.; Regamey, Nicolas; Casaulta, Carmen; Geiser, Thomas; Alves, Marco P.	2017	3	4
271	Cystic Fibrosis	Exploratory/ no specific feature	Human/patient primary or stem cells 	human nasal epithelial cells (hNECs)	Model development - experim	Trans Epithelial Electrical Resistance (TEER)	Medium / Low (Lab scale)	Mechanistic Studies		Characterization of pediatric cystic fibrosis airway epithelial cell cultures at the air-liquid interface obtained by non-invasive nasal cytology brush sampling	https://doi.org/10.1186/s12931-017-0706-7	Schogler, Aline; Blank, Fabian; Brugger, Melanie; Beyeler, Seraina; Tschanz, Stefan A.; Regamey, Nicolas; Casaulta, Carmen; Geiser, Thomas; Alves, Marco P.	2017	3	4
271	Cystic Fibrosis	Exploratory/ no specific feature	Human/patient primary or stem cells 	human nasal epithelial cells (hNECs)	Model development - experim	Protein Expression	Medium / Low (Lab scale)	Mechanistic Studies		Characterization of pediatric cystic fibrosis airway epithelial cell cultures at the air-liquid interface obtained by non-invasive nasal cytology brush sampling	https://doi.org/10.1186/s12931-017-0706-7	Schogler, Aline; Blank, Fabian; Brugger, Melanie; Beyeler, Seraina; Tschanz, Stefan A.; Regamey, Nicolas; Casaulta, Carmen; Geiser, Thomas; Alves, Marco P.	2017	3	4
271	Cystic Fibrosis	Exploratory/ no specific feature	Human/patient primary or stem cells 	human nasal epithelial cells (hNECs)	Model development - experim	mRNA expression	Medium / Low (Lab scale)	Mechanistic Studies		Characterization of pediatric cystic fibrosis airway epithelial cell cultures at the air-liquid interface obtained by non-invasive nasal cytology brush sampling	https://doi.org/10.1186/s12931-017-0706-7	Schogler, Aline; Blank, Fabian; Brugger, Melanie; Beyeler, Seraina; Tschanz, Stefan A.; Regamey, Nicolas; Casaulta, Carmen; Geiser, Thomas; Alves, Marco P.	2017	3	4
272	Respiratory Disease - General	Infection	2D or 3D Culture	human nasal epithelial cells (hNECs)	Disease mechanism (exp/theor)	mRNA expression	Medium / Low (Lab scale)	Disease Progression		In Vitro Model of Fully Differentiated Human Nasal Epithelial Cells Infected With Rhinovirus Reveals Epithelium-Initiated Immune Responses	https://doi.org/10.1093/infdis/jix640	Sen Tan, Kai; Ong, Hsiao Hui; Yan, Yan; Liu, Jing; Li, Chunwei; Ong, Yew Kwang; Thong, Kim Thye; Choi, Hyung Won; Wang, De-Yun; Chow, Vincent T.	2018	2	4
273	COPD	Gene expression	Human/patient ex-vivo tissue or body fluids 	Alveolar epithelial type II (ATII) cells 	Model development - experim	Protein Expression	Medium / Low (Lab scale)	Unknown		Reduced Frizzled Receptor 4 Expression Prevents WNT/beta-Catenin-driven Alveolar Lung Repair in Chronic Obstructive Pulmonary Disease.	https://doi.org/10.1164/rccm.201605-0904OC	Skronska-Wasek, Wioletta; Mutze, Kathrin; Baarsma, Hoeke A; Bracke, Ken R; Alsafadi, Hani N; Lehmann, Mareike; Costa, Rita; Stornaiuolo, Mariano; Novellino, Ettore; Brusselle, Guy G; Wagner, Darcy E; Yildirim, Ali O; Konigshoff, Melanie	2017	18	19
274	Pulmonary Fibrosis	Idiopathic Pulmonary Fibrosis (IPF)	Spheroid	See notes	Mimics lung microenvironment	Cytokine Release	Medium / Low (Lab scale)	Drug Development	This ex vivo 3D model uses lung tissue from patients to develop pulmospheres. Pulmospheres are 3D spheroids composed of cells derived exclusively from primary lung biopsies and inclusive of lung cell types reflective of those in situ, in the patient.	3D pulmospheres serve as a personalized and predictive multicellular model for assessment of antifibrotic drugs	https://doi.org/10.1172/jci.insight.91377	Surolia, Ranu; Li, Fu Jun; Wang, Zheng; Li, Huashi; Liu, Gang; Zhou, Yong; Luckhardt, Tracy; Bae, Sejong; Liu, Rui-ming; Rangarajan, Sunad; de Andrade, Joao; Thannickal, Victor J.; Antony, Veena B.	2017	-	7
