Model no.	Disease area	Disease feature 	Disease feature 1	Disease feature 2	Disease feature 3	Cellular Input	Model	Category	Type	Cells	Cell culture type	Cell culture dimensions	3D type	Ex vivo	Applications	Biological endpoints	Throughput	Potential	Relevance	Status	Content	Predictive	Year	First Author Name	Link to Abstract (DOI)
473	Gastrointestinal Cancer	Immunotherapy	immunotherapy			n/a	Biopsies	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	TILs reactivity, T-cell receptors	Low	Yes	Supportive	Proof of Concept	Low	No	2014	Turcotte, S	10.1158/1078-0432.CCR-13-1736
474	Gastric Cancer	Immunomodulation	immunomodulation			n/a	γδ T cells	In vitro	Cells	Primary cell culture	Coculture	2D	n/a	n/a	Disease mechanism (exp/theor)	cytokines secretion, citotoxicity, T cell activation	Low	Yes	Supportive	Proof of Concept	Low	No	2014	Mao, CM	10.1155/2014/593562
475	General	Immunotherapy	immunotherapy			n/a	T cells	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	PD-L2, T-cell reactivity	Low	Yes	Direct	Proof of Concept	Low	No	2018	Ahmad, SM	10.1080/2162402X.2017.1390641
476	General	Anti-Cancer Therapy	anti-cancer therapy	 biomarkers		n/a	MCF-10A	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	CDCP1	Low	Yes	Direct	Proof of Concept	Low	No	2018	Martinko, AJ	10.7554/eLife.31098
477	Colorectal Cancer	Immunomodulation	immunomodulation			PHA, K562	PBMCs	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease mechanism (exp/theor)	CD56, NKG2D and NKp44	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2014		10.1055/s-0033-1358465
478	Prostate Cancer	Immunotherapy	immunotherapy			n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	PD-L1, correlation, T-cell density, B-cell density,	Low	Yes	Direct	Proof of Concept	Low	Yes	2017	Petitprez, F	10.1016/j.euf.2017.05.013
479	Colorectal Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	 let-7a and let-7b , D3 + , CD8 + , CD45RO (PTPRC) + , and FOXP3 + cell densities, correlation	Low	Yes	Direct	Proof of Concept	Low	No	2016	Dou, RX	10.1158/2326-6066.CIR-16-0112
480	Bladder Cancer	Immunotherapy	immunotherapy			n/a	n/a	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	cancer growth	Low	Yes	Direct	Proof of Concept	Low	No	2018	Hincal, E	10.1063/1.5048997
481	Glioblastoma Multiforme	Anti-Cancer Therapy	anti-cancer therapy			n/a	n/a	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Disease mechanism (exp/theor) Disease therapy dev	IDO-1, cancer-immune system interactions	Low	Yes	Direct	Proof of Concept	Low	Yes	2018	Chakwizira, A	10.1259/bjr.20170857
482	Prostate Cancer	Immunotherapy	immunotherapy			n/a	n/a	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	t-periodic system	Low	Yes	Direct	Proof of Concept	Low	No	2016	Forys, U	10.1007/s00285-016-0978-4
483	Bladder Cancer	Immunotherapy	immunotherapy			n/a	n/a	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Disease mechanism (exp/theor)	immune system response, IL-2	Low	Yes	Direct	Proof of Concept	Low	No	2016	Starkov, KE	10.3934/mbe.2016030
484	Neuroendocrine Tumor	Immunotherapy	immunotherapy			n/a	Biopsies	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Disease therapy dev	Genome profiling ,new antigenes,  immunomodulatory proteins and cytokine profiling 	Low	Yes	Direct	Proof of Concept	Low	No	2016	Gupta, S	10.1371/journal.pone.0166372
485	Colorectal Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor) Disease therapy dev	mutational analyses, somatic point mutations, small insertions and deletions, mutational signatures, and somatic copy number alterations	Low	Yes	Supportive	Proof of Concept	Low	No	2016	Kosaloglu, Z	10.1080/2162402X.2016.1213931
486	Breast Cancer	Anti-Cancer Therapy	anti-cancer therapy			n/a	MCF-7, HDFa	In vitro	Cells	Immortalized cells	MPS	2D/3D	Scaffolds	n/a	Drug dev/testing	citotoxicity	Low	Yes	Supportive	Proof of Concept	Low	No	2014	Poenick, S	10.1016/j.bios.2013.09.048
487	Lung Adenocarcinoma	Immunotherapy	immunotherapy			T-cells	HCC-2935, NCI-H1993, H522	In vitro	Cells	Immortalized cells	Coculture	2D	n/a	n/a	Disease therapy dev	citotoxicity, IFM-gamma,  HLA-A*02:01/CT37	Low	Yes	Supportive	Qualified externally	Low	No	2018	Flores-Villanueva, PO	10.4049/jimmunol.1701054
488	Glioblastoma Multiforme	Immunotherapy	immunotherapy			Jurkat T cells	 U87, HEK293T 	In vitro	Cells	Immortalized cells	Coculture	2D	n/a	n/a	Disease therapy dev	citotoxicity	Low	Yes	Supportive	Qualified externally	Low	No	2018	Zheng, Y	10.1016/j.bbrc.2018.10.151
489	Glioblastoma Multiforme	Immunotherapy	immunotherapy			n/a	Biopsies	In vitro	Cells	Primary cell culture / Stem cells	Culture	2D	n/a	n/a	Disease therapy dev	citotoxicity on Cancer stem cell	Low	Yes	Supportive	Proof of Concept	Low	No	2018	Wenger, A	10.1016/j.neo.2017.10.006
490	General	Anti-Cancer Therapy	anti-cancer therapy			n/a	T-Regs	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Drug dev/testing	viability, TREG:TEFF ratio, IL-10	Low	No	Supportive	Proof of Concept	Low	No	2016	Scotta, C	10.3324/haematol.2015.128934
491	Colon Cancer	Anti-Cancer Therapy	anti-cancer therapy			n/a	HEK 293T, LS174T	In vitro	Cells	Immortalized cells	Culture	3D	Spheroids	n/a	Disease therapy dev	drug delivery and penetration	Low	Yes	Direct	Qualified externally	Low	No	2014	Deo, VK	10.1007/s11095-014-1316-4
492	Breast Cancer	Anti-Cancer Therapy	anti-cancer therapy			n/a	MCF‐10A	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	ErbB2 	Low	Yes	Direct	Qualified externally	Low	No	2015	Weigel, KJ	10.1016/j.fob.2015.03.005
493	Melanoma	Adoptive Cell Therapy	adoptive cell therapy			TILs	K562 cells	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease therapy dev	CD8(+) T-cell expansion, RNA profiling, 	Low	No	Supportive	Proof of Concept	Low	No	2014	Forget, MA	10.1097/CJI.0000000000000056
494	General (Breast Cancer As Instrumental)	Anti-Cancer Therapy	anti-cancer therapy			n/a	MCF-7	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	oxidative DNA damage 	Low	No	Direct	Qualified externally	Low	No	2014	Badr, M	10.1515/hsz-2013-0270
495	Acute Myeloid Leukemia	Anti-Cancer Therapy	anti-cancer therapy			n/a	M2-derived Kasumi-1	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	cell proliferation, apoptosis	Low	Yes	Direct	Qualified externally	Low	No	2015	Fitting, J	10.1080/19420862.2015.1007818
496	Breast Cancer	Immunotherapy	immunotherapy			PBMCs, monocytes and dendritic cells (DCs)	HEK293T	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease therapy dev	CXorf61, cytotoxicity	Low	Yes	Supportive	Qualified externally	Low	No	2015	Paret, C	10.18632/oncotarget.4516
497	Lung Cancer	Immunomodulation	immunomodulation			n/a	peripheral Blood mononuclear cells (PBMCs), DCs (DCs) 	In vitro	Cells	Primary cell culture	Coculture	2D	n/a	n/a	Disease mechanism (exp/theor)	T cell proliferation	Low	Yes	Supportive	Proof of Concept	Low	No	2016	Zhong, R.	http://www.ijcem.com/files/ijcem0023700.pdf
498	Melanoma	Immunomodulation	immunomodulation			n/a	PBMCs	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	T cell count and reactivity	Low	No	Direct	Proof of Concept	Low	No	2016	Munir Ahmad, S.	10.1080/2162402X.2016.1202391
499	Prostate Cancer, Breast Cancer	Anti-Cancer Therapy	anti-cancer therapy	 immunoomdulation		CTLs	LNCaP, MDA-MB-231	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	cytotoxicity	Low	No	Supportive	Proof of Concept/Qualified externally	Low	No	2016	Gameiro, SR	10.18632/oncotarget.7180
500	General (Cell Lines As Instrumental)	Immunomodulation	immunomodulation	 anti-cancer therapy		n/a	A-549 (lung), HCT-116 (Colon) and MCF-7 (breast)	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease mechanism (exp/theor) Drug dev/testing	MAPK/ERK and NFB/RelB	Low	Yes	Direct	Qualified externally	Low	No	2018	Gravett, AM	10.1080/2162402X.2018.1438107
501	General (Cell Lines As Instrumental)	Immunomodulation	immunomodulation			HCT- 116 and MCF-7 lysates	DCs	In vitro	Cells	Immortalized cells / primary cell culture	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	antigen presentation capacity, phagocytic activity, chemotaxis capacity, T-cell proliferation and cytokines release, migration capacity and T cell proliferation	Low	No	Supportive	Proof of Concept/Qualified externally	Low	No	2018	Mohamed, SIA	10.1186/s12906-018-2296-4
502	General (Cell Lines As Instrumental)	Anti-Cancer Therapy	anti-cancer therapy			n/a	SKOV-3, HEK293 cells and H460 lung cancer cells	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	cytotoxicity	Low	Yes	Direct	Qualified externally	Low	No	2018	Jiao, PY	10.1007/s00253-018-9291-z
503	Colorectal Cancer	Cancer initiation and develop.	cancer initiation and dev				9 CTC primary cell lines	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	 DEFA6, ABCB1 and GAL, mutational profile,ALDH1	Low	No	Supportive	Proof of Concept	Low	No	2018	Soler, A	10.1038/s41598-018-34365-z
504	Gastric Cancer	Cancer initiation and develop.	cancer initiation and dev			lymphatic endothelial cells (LECs)	T cells	In vitro	Cells	Primary cell culture	Coculture	2D	n/a	n/a	Disease mechanism (exp/theor)	T cell activation, IL-2, IL-10, and INF-gamma, PD-L1, IDO-1	Low	No	Supportive	Proof of Concept	Low	No	2017	Tokumoto, M	10.21873/anticanres.11640
505	Neck Squamous Cell Carcinoma	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	SCC4, SCC15, SCC19, SCC25, SCC84, SCC92, SCC99	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	secreted MMP1, MMP7, MMP9, IL-6, VEGFA, IL-l alpha, TNF-alpha, GM-CSF, IL-1RA, and IL-8, PDL1, CD47, FASL, and IDO	Low	Yes	Supportive	Qualified externally	Low	No	2018	Bates, AM	10.21037/tcr.2018.05.09
506	Colorectal Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	MIR21,  CD3(+), CD8(+), CD45RO (PTPRC)(+), and FOXP3(+) T cells	Low	Yes	Supportive	Proof of Concept	Low	No	2016	Mima, K	10.1158/2326-6066.CIR-15-0084
507	Bladder Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies, T24, UM-UC-3, J82, 5637, SW780, and RT4	In vitro	Cells / Ex vivo	Immortalized cells	Culture	2D	n/a	Biopsies	Disease mechanism (exp/theor)	TEX19	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2016	Zhong, JH	10.1007/s13277-015-4567-8
508	Gastric Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	transcriptional profile	Low	Yes	Supportive	Proof of Concept	High	No	2017	Park, C	10.1080/2162402X.2017.1356150
509	Colorectal Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	correlation, T helper type 1 (Th1), Th2, Th17, and regulatory T (Treg) cells densities	Low	No	Supportive	Qualified externally	Low	No	2016	Yoshida, N	10.1245/s10434-015-4923-3
510	Lung Squamous Cell Carcinoma	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	proportion of PD-Li-positive carcinoma cells, corelation	Low	No	Direct	Proof of Concept	Low	No	2017	Takada, K	10.1016/j.lungcan.2016.12.006
511	Lung Adenocarcinoma	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	26 NSCLC cell lines (list not available)	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	HORMAD1 , correlation, PARP, ROS	High	No	Supportive	Qualified externally	Low	No	2018	Nichols, BA	10.1158/0008-5472.CAN-18-1377
512	Prostate Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	liquid Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	transcriptional profile, ARFL, correlation	Low	Yes	Direct	Proof of Concept	Medium	Yes	2018	Skerenova, M	10.1007/s40291-018-0333-0
513	Lung Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	293F and 293FT,  PC10, H226, LK2 and LC-1, A-549, REPF-LC-MS, VMRC-LCD and ABC-1, Biopsies	In vitro	Cells / Ex vivo	Immortalized cells	Culture	2D	n/a	Biopsies	Disease mechanism (exp/theor)	Melanoma antigen family A4 (MAGEA4), correlation	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	Yes	2018	Fujiwara-Kuroda, A	10.3892/ijo.2018.4425
514	Melanoma	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	55 patient-derived melanoma cell lines	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	immunopeptidome profile, SLC45A2 and CTL sensitivity 	Low	Yes	Direct	Proof of Concept	High	No	2017	Park, J	10.1158/2326-6066.CIR-17-0051
515	Hepatocellular Carcinoma	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	SMMC7721, BEL7402, HEP3	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	MYC, PD-L1, IFN-gamma	Low	Yes	Supportive	Qualified externally	Low	No	2018	Zou, JH	10.1016/j.molimm.2018.07.006
516	Head And Neck Squamous Cell Carcinoma	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		T-Regs	Biopsies	In vitro	Cells / Ex vivo	Primary cell culture	Culture	2D	n/a	Biopsies	Disease mechanism (exp/theor)	L-33, Fox3p, T-Regs density, cell proliferation, correlation	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	Yes	2019	Wen, YH	10.1007/s00262-018-2265-2
517	Pancreatic Cancer	Immunotherapy	immunotherapy			n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	FAK, T cell infiltration	Low	No	Supportive	Proof of Concept	Low	No	2016	Jiang, H	10.1038/nm.4123
518	Pancreatic Cancer	Biomarkers	biomarkers			n/a	YPK2 and YPK5 	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	calreticulin (CRT), correlation	Low	Yes	Supportive	Qualified externally	Medium	Yes	2016	Matsukuma, S	10.1111/cas.13061
519	Prostate Cancer	Biomarkers	biomarkers			n/a	PNT1A, LNCaP	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	STEAP1 and STEAP1B	Low	No	Direct	Qualified externally	Low	No	2014	Gomes, I.M.	10.18632/genesandcancer.13
520	Colorectal Cancer	Biomarkers	biomarkers			n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	densities of Th1, effector-memory T cells, T cells proliferation , PD1-PDL1, IMMUNOSCORE, satellite stability, correlation	Low	No	Direct	Proof of Concept	Low	Yes	2016	Mlecnik, B	10.1016/j.immuni.2016.02.025
521	Ovarian Cancer	Biomarkers	biomarkers			n/a	Biopsies, OV-90, SKOV-3 and OVCAR-3, CaOV-3	In vitro	Cells / Ex vivo	Immortalized cells	Culture	2D	n/a	Biopsies	Model/method qualification	BIRC5, CA125, CEA, DDX43, EPCAM, FOLR1, Her-2/neu, MAGE-A1, MAGE-A2, MAGE-A3, MAGE-A4, MAGE-A6, MAGE-A10, MAGE-A12, MUC-1, NY-ESO-1, PRAME, p53, TPBG, TRT, WT1	Low	No	Supportive	Proof of Concept	Low	No	2016	Kloudova, K	10.18632/oncotarget.10028
522	General (Cell Lines As Instrumental)	Anti-Cancer Therapy	anti-cancer therapy	 immunoomdulation		n/a	Hep-G2, QUY-703, L02	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	tryptophan-2,3-dioxygenase,  T-cell activation and proliferation 	Low	No	Direct	Proof of Concept	Low	No	2019	Hua, SX	10.1016/j.ejmech.2019.02.063
523	Colorectal Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	single T cells transcriptional profile	High	Yes	Direct	Proof of Concept	High	Yes	2018	Zhang, L	10.1038/s41586-018-0694-x
524	Colorectal Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	IL-17, IL-2	Low	No	Direct	Proof of Concept	Medium	No	2016	Taylor, ES	10.1080/2162402X.2016.1234573
525	Renal Cell Carcinoma 	Cancer initiation and develop.	cancer initiation and dev			n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	TILs	Low	No	Supportive	Proof of Concept	Low	No	2015	Baine, MK	10.18632/oncotarget.4572
526	Colon Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	KY-CC-14/ACTR1A, KY-CC-19/TSGA2, KY-CC-12/FKBP4, KY-CC-15/PLRG1	Low	Yes	Direct	Proof of Concept	Low	No	2015	Garifulin, O.M.	https://exp-oncology.com.ua/article/7979
527	Gastric Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	TIM-3	Low	Yes	Direct	Proof of Concept	Low	No	2017	Naghavi-Alhosseini, M.	10.22034/APJCP.2017.18.3.765
528	Melanoma	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	lymphatic vessel density (LVD), CD8+ T cell infiltration, INOS, IDO	Low	Yes	Direct	Proof of Concept	Low	Yes	2018	Bordry, N	10.1080/2162402X.2018.1462878
529	Gastric Cancer	Biomarkers	biomarkers	 immunoclassification		n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	CD8 and PD-L1	Low	Yes	Direct	Proof of Concept	Low	Yes	2018		10.18632/oncotarget.24037
530	General	Immunotherapy	immunotherapy			n/a	n/a	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Disease therapy dev Model/method dev - theor	R-CHOP variants	Low	Yes	Direct	Proof of Concept	Low	Yes	2016	Rosch, K	10.3109/10428194.2015.1110746
531	Prostate Cancer	Immunotherapy	immunotherapy			n/a	n/a	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Disease therapy dev Model/method dev - theor	inverse mapping 	Low	No	Direct	Proof of Concept	Low	No	2018	Nave, O	10.1142/S1793524518500729
532	Head And Neck Squamous Cell Carcinoma	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	ARMC3, DDX53, FTHL17, GAGE1, MAGEA11, SYCE1, TCP11, and XAGE1	Low	Yes	Direct	Proof of Concept	Low	Yes	2017	Karia, BTR	10.2174/1566524018666180322162145
533	Head And Neck Squamous Cell Carcinoma	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	SPANX-CD, MAGEB2, MAGEA1, MAGEB6, and CXORF48 , CXORF48, MAGEB6, and CRISP2	Low	Yes	Direct	Proof of Concept	Low	Yes	2015	Zamuner, FT	10.1158/1535-7163.MCT-14-0796
534	General	Biomarkers	biomarkers			n/a	n/a	In silico	Computational	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	neoepitopes in cancer	Low	Yes	Direct	Proof of Concept	Low	Yes	2018	Smart, AC	10.1038/nbt.4239
535	Multiple Myeloma	Anti-Cancer Therapy	anti-cancer therapy			n/a	LP-1, OPM-2 and RPMI8226	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease therapy dev Drug dev/testing	CD38, cytotoxicity	Low	Yes	Direct	Qualified externally	Low	No	2016	Li, T	10.1038/srep27055
536	Glioma	Biomarkers	biomarkers			n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	OY-TES-1, correlation	Low	Yes	Direct	Proof of Concept	Low	Yes	2016	Shi, L	 http://www.ijcep.com/files/ijcep0019941.pdf
537	Colorectal Cancer	Biomarkers	biomarkers			n/a	CL-188, HTB-39, and HTB-37, Biopsies	In vitro	Cells / Ex vivo	Immortalized cells	Culture	2D	n/a	Biopsies	Disease mechanism (exp/theor)	expression of 18 cancer-testis antigene, correlate	Low	No	Supportive	Proof of Concept/Qualified externally	Low	No	2016	Tarnowski, M	10.1155/2016/1987505
538	Head And Neck Squamous Cell Carcinoma	Biomarkers	biomarkers			n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	expression of CTA	Low	Yes	Direct	Proof of Concept	Low	No	2014	Laban, S	10.1002/ijc.28752
539	Colorectal Cancer	Biomarkers	biomarkers			n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	 TNF, IFNG and FOXP3 methylation, correlation	Low	Yes	Direct	Proof of Concept	Low	Yes	2014	Ganapathi, SK	10.1038/bjc.2014.477
540	Leukaemia	Anti-Cancer Therapy	anti-cancer therapy			n/a	HL60 and MOLT4	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease therapy dev	 CD25 and TRAIL R2/DR5	Low	No	Direct	Qualified externally	Low	No	2017	Madhumathi, J	10.1016/j.scr.2017.01.001
541	Craniopharyngioma 	Immunotherapy	immunotherapy			n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	mTOR, MAPK, PD-1/PD-L1	Low	No	Direct	Proof of Concept	Low	No	2018	Coy, S	10.1093/neuonc/noy035
542	General	Biomarkers	biomarkers			n/a	liquid Biopsies	In vitro	Cell free	n/a	n/a	n/a	n/a	n/a	Disease mechanism (exp/theor)	DNA sequencing, mutational profile	Low	Yes	Direct	Proof of Concept	High	Yes	2017	Khagi, Y	10.1158/1078-0432.CCR-17-1439
