Model no.	Disease area	Disease feature	Category	Type	Application/ aim	Biological or disease-specific endpoint	Assay Throughput/ Content	Relevance	Potential/Future developments	DOI	Author name	Year
314	AD	Exploratory/ no specific feature	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	blood	Diagnosis of disease	Other	Low-medium/low	for disease: focus on platelets and disease feature outside the central nervous system	Encourages future work to evaluate if platelets can be used as biomarkers to differentiate moderate AD from other dementias	10.3109/00365513.2013.764572	Jaremo	2013
315	AD	Protein aggregation	Biochemical/cell-free assay	Fibrils	Disease mechanism (exp/theor)	Multiple biological endpoints	Low-medium/low	for disease: Aβ protofibrils are toxic to neurons; for animal replacement: in vitro method for better medium to study itneractions of fibrils	not specified	10.1007/s11481-012-9424-6	Paranjape	2013
316	AD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	CSF	Diagnosis of disease	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	for disease: the assay could be useful for both preclinical and clinical analyses	sAPPalpha is tested as a potential biomarker for the diagnosis of AD	10.3233/JAD-130509	Taverna	2013
317	AD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Blood	Diagnosis of disease	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	for disease: the assay could be useful for both preclinical and clinical analyses	sAPPalpha is tested as a potential biomarker for the diagnosis of AD	10.3233/JAD-130509	Taverna	2013
318	AD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Brain (or CNS) tissue	Disease therapy developm	Other	Low-medium/low	for disease: Several lines of evidence indicate that Abeta may contribute to the reduction in cerebral blood flow in AD by inducing endothelial dysfunction, i.e., impairment of endothelium-dependent relaxation and enhancement of endothelium-dependant vasoconstriction 	the possibility of using antioxidant treatments to maintain endothelial function (However--the authors add--antioxidants are probably too pleiotropic in terms of effects (both positive and negative) to be useful as a means of improving cerebral blood flow in AD patients)	10.3233/JAD-130383	Palmer	2013
319	AD	Neuroinflammation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Blood	Disease mechanism (exp/theor)	Inflammation	Low-medium/medium	for disease: not specific for AD; animal replacement: method is not human specific	not specified	10.3233/JAD-121735	Mizwicki	2013
320	AD	Exploratory/ no specific feature	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Other	Disease mechanism (exp/theor)	Multiple biological endpoints	Low-medium/low	for disease: very specific (and potential) aspect of disease in eye	Quantitative biochemical analysis of the amount of beta-amyloid in human lenses	10.1016/j.exer.2012.10.012	Michael	2013
321	PD	Exploratory/ no specific feature	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Blood	Disease mechanism (exp/theor)	Epigenetic changes	Low-medium/low	for disease: MAPT polymorphisms consistently have been linked to an increased risk of PD in multiple studies	not specified	10.1002/mds.25784	Coupland	2014
322	PD	Exploratory/ no specific feature	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Brain (or CNS) tissue	Disease mechanism (exp/theor)	Epigenetic changes	Low-medium/low	for disease: MAPT polymorphisms consistently have been linked to an increased risk of PD in multiple studies	not specified	10.1002/mds.25784	Coupland	2014
323	AD	Exploratory/ no specific feature	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Blood	Diagnosis of disease	Changed protein expression	Low-medium/medium	for disease: look for biomarkers; for animal replacement: minimally invasive and quick	translated into a protein biochip array with great feasibility for routine diagnosis (of particular interest is further assessment of the pathologic significance of this platelet biomarker panel in patients with incipient AD and follow-up of aMCI patients)	10.1007/s00401-014-1341-8	Veitinger	2014
324	AD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Brain (or CNS) tissue	Model/method development - experim	Multiple biological endpoints	Low-medium/medium	for disease: Methods described allow direct investigation of human microvessel functional response that cannot be replicated by human noninvasive imaging or post-mortem histology; for animal replacement: Ex vivo living adipose and cadaver leptomeningeal arterioles are viable, novel and practical human tissue models to study Alzheimer’s vascular pathophysiology	"Abdominal adipose arterioles from living subjects may be used as an accessible surrogate to study Abeta effects on the microvasculature and to probe whether vessel response to Abeta is a biomarker of risk for AD in itiation or progression. Further studies are needed to fully define the physiologic extent and limitations of adipose arterioles as surrogate tissue to study cerebrovascular arteriole responses."	10.1016/j.jneumeth.2014.06.014	Truran	2014
325	AD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Other	Model/method development - experim	Multiple biological endpoints	Low-medium/medium	for disease: Methods described allow direct investigation of human microvessel functional response that cannot be replicated by human noninvasive imaging or post-mortem histology; for animal replacement: Ex vivo living adipose and cadaver leptomeningeal arterioles are viable, novel and practical human tissue models to study Alzheimer’s vascular pathophysiology	"Abdominal adipose arterioles from living subjects may be used as an accessible surrogate to study Abeta effects on the microvasculature and to probe whether vessel response to Abeta is a biomarker of risk for AD in itiation or progression. Further studies are needed to fully define the physiologic extent and limitations of adipose arterioles as surrogate tissue to study cerebrovascular arteriole responses."	10.1016/j.jneumeth.2014.06.014	Truran	2014
326	AD	Neuronal loss	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Brain (or CNS) tissue	Disease mechanism (exp/theor)	Changed protein expression	Low-medium/medium	for disease: Label-free and labeled MRM have been utilized to quantify protein expression in AD serum and brain homogenates, but much less work has been done on nerve-endings. Proof of principle that it is possible to quantify isoforms of target proteins from synaptosomes isolated from human brain.	"By specifically targeting peptides with modification sites it will be possible to determine protein variants that are affected in AD brain. These are potential candidates as disease markers and as drug leads."	10.1016/j.neuint.2014.05.011	Chang	2014
327	AD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Brain (or CNS) tissue	Disease mechanism (exp/theor)	Protein dysfunction: multiple	Low-medium/low	for disease: pathological assessment tool	valuable tool for identifcation of lesions in pathological tissues characterized by storage of macromolecules with specifc molecular characteristics 	10.1038/s41598-017-16002-3	Michael	2017
328	AD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Brain (or CNS) tissue	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	powerful tool for investigating the distribution of proteins and small molecules within biological systems	not specified	10.1186/s40478-017-0477-x	Kakuda	2017
329	AD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Brain (or CNS) tissue	Diagnosis of disease	Protein dysfunction: Tau (phosphorylation)	Low-medium/low	for disease: tau detection = central to disease; for animal-replacement: can be used in vitro and in ex vivo settings	use as a tau-specific fluorescent dye in both in vitro and ex vivo setting	10.1021/acschemneuro.7b00224	Park	2017
330	AD	Exploratory/ no specific feature	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Brain (or CNS) tissue	Disease mechanism (exp/theor)	Other	Low-medium/low	for disease: method to explore link between AD and O-GlcNAcylation, so relevance in terms of disease is yet to be determined; for animal replacement: method can be applied to tissue from any source	the quantitative proteomics analytical pipeline developed and implemented in the current study can be further expanded to accommodate the need for higher throughput (e.g. by using TMT-10) as well as integrated proteome, phosphoproteome and/or O-GlcNAc proteome analysis (e.g. via sample splitting or sequential enrichment)	10.1002/path.4929	Wang	2017
331	AD	Exploratory/ no specific feature	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Brain (or CNS) tissue	Disease mechanism (exp/theor)	Other	Low-medium/medium	for disease: method to explore link between AD and lipid homeostasis, so relevance in terms of disease is yet to be determined; for animal replacement: method can be applied to tissue from any source	similar studies of other brain areas affected by AD such as hippocampus, nucleus basalis of Meynert and amygdala would lead to a better understanding of lipid adaptations during the progression of the disease	10.1016/j.bbamem.2017.05.009	Gonzalez de San Roman	2017
332	AD	Exploratory/ no specific feature	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Brain (or CNS) tissue	Disease mechanism (exp/theor)	Other	Low-medium/medium	for disease: metabolic basis of AD, exploratory; for animal replacement: focus on interesting patient or potential patient populations	method provides a novel framework for identifying markers for early detection and potential avenues for effective therapeutic intervention in AD	10.1371/journal.pmed.1002482	Varma	2018
333	AD	Exploratory/ no specific feature	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Blood	Diagnosis of disease	Other	Low-medium/medium	for disease: metabolic basis of AD, exploratory; for animal replacement: focus on interesting patient or potential patient populations	method provides a novel framework for identifying markers for early detection and potential avenues for effective therapeutic intervention in AD	10.1371/journal.pmed.1002482	Varma	2018
